Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,AST_TO_Ratio,ReboundActivity,PF_per_Min,GamesPlayed,Cluster_KMeans,Cluster_Hier,ClusterName_KMeans
A.J. Green,21.9975,2.590909090909091,5.863636363636363,0.4264545454545454,2.1818181818181817,5.045454545454546,0.3952727272727273,0.29545454545454547,0.3409090909090909,0.1401590909090909,0.25,2.0,2.25,1.2727272727272727,0.5454545454545454,0.11363636363636363,0.6136363636363636,2.1136363636363638,7.659090909090909,5.404545454545455,0.9280303030303031,2.25,0.09714353092788297,44,0,0,Role Players / Low Usage
Aaron Gordon,26.666,4.333333333333333,8.5,0.5109,1.1333333333333333,2.8,0.40099999999999997,2.533333333333333,3.2333333333333334,0.6306999999999999,1.5333333333333334,3.2,4.733333333333333,3.066666666666667,0.4666666666666667,0.26666666666666666,1.3333333333333333,1.6,12.333333333333334,10.696666666666665,1.7444444444444445,4.733333333333333,0.06609798617309678,30,1,1,Primary Playmakers (High Minutes)
Aaron Holiday,11.371944444444445,1.4444444444444444,3.4444444444444446,0.34555555555555556,0.8611111111111112,2.3055555555555554,0.2758333333333333,0.4722222222222222,0.5277777777777778,0.2222222222222222,0.16666666666666666,0.7777777777777778,0.9444444444444444,1.1944444444444444,0.3611111111111111,0.1111111111111111,0.4722222222222222,1.0555555555555556,4.222222222222222,3.0972222222222223,0.8981481481481483,0.9444444444444444,0.08183301840367017,36,0,0,Role Players / Low Usage
Aaron Nesmith,20.949333333333335,2.7333333333333334,5.533333333333333,0.4784666666666667,1.0,2.4,0.39333333333333337,1.7333333333333334,1.9333333333333333,0.5644666666666667,0.4666666666666667,2.8666666666666667,3.3333333333333335,1.2666666666666666,0.6,0.26666666666666666,0.7333333333333333,2.6,8.2,6.426666666666666,0.8222222222222222,3.3333333333333335,0.11106364975446482,15,0,0,Role Players / Low Usage
Aaron Wiggins,21.322745098039217,4.019607843137255,8.117647058823529,0.4754117647058823,1.3333333333333333,3.6862745098039214,0.3399803921568627,0.7647058823529411,0.9019607843137255,0.26715686274509803,1.0784313725490196,2.4901960784313726,3.5686274509803924,1.5686274509803921,0.7254901960784313,0.23529411764705882,0.8235294117647058,1.2549019607843137,10.137254901960784,8.172549019607843,1.0212418300653596,3.5686274509803924,0.06279091700160168,51,0,0,Role Players / Low Usage
Adam Flagler,4.278421052631579,0.47368421052631576,2.473684210526316,0.22189473684210528,0.3157894736842105,2.0,0.20489473684210524,0.0,0.0,0.0,0.15789473684210525,0.2631578947368421,0.42105263157894735,0.0,0.2631578947368421,0.05263157894736842,0.05263157894736842,0.3684210526315789,1.263157894736842,0.010526315789473694,0.0,0.42105263157894735,0.11069259528408869,19,0,0,Role Players / Low Usage
Adem Bona,10.940277777777778,1.1111111111111112,1.5833333333333333,0.5324166666666668,0.0,0.0,0.0,0.7777777777777778,1.2222222222222223,0.32825,1.0277777777777777,1.8055555555555556,2.8333333333333335,0.3055555555555556,0.19444444444444445,0.75,0.6666666666666666,1.8888888888888888,3.0,2.9305555555555554,0.2546296296296296,2.8333333333333335,0.18289270295758406,36,0,0,Role Players / Low Usage
Ajay Mitchell,16.483428571428572,2.4571428571428573,4.914285714285715,0.44602857142857144,0.6285714285714286,1.5142857142857142,0.3362,0.8857142857142857,1.0571428571428572,0.42619999999999997,0.4857142857142857,1.4857142857142858,1.9714285714285715,1.6857142857142857,0.6857142857142857,0.08571428571428572,0.8,1.6857142857142857,6.428571428571429,5.140000000000001,1.169047619047619,1.9714285714285715,0.11463295335753433,35,0,0,Role Players / Low Usage
Al Horford,26.203249999999997,2.875,7.05,0.393475,1.75,5.0,0.323,0.35,0.4,0.2,1.075,4.175,5.25,1.925,0.6,0.85,0.725,1.425,7.85,7.297499999999999,1.3833333333333333,5.25,0.051984971547593274,40,1,0,Primary Playmakers (High Minutes)
Alec Burks,16.146923076923077,1.7692307692307692,4.3076923076923075,0.3801153846153846,1.3846153846153846,3.230769230769231,0.34149999999999997,0.8076923076923077,1.0,0.3086153846153846,0.3076923076923077,1.7692307692307692,2.076923076923077,1.0769230769230769,0.5769230769230769,0.19230769230769232,0.34615384615384615,0.6923076923076923,5.730769230769231,4.934615384615385,0.9935897435897435,2.076923076923077,0.040914434491321344,26,0,0,Role Players / Low Usage
